manuscript_asset,manuscript_role,input_data,software_or_script,settings_file,reproduction_status,notes
flowchart.pdf,research workflow,manuscript methods,manual diagram,not applicable,partial,Burst detection was removed from the retained version
Picture_3.pdf,journal indicators,histcite_journal_metrics_original.csv,to confirm,to confirm,partial,Existing output retained
Picture_4.pdf,author indicators,histcite_author_metrics_original.csv,to confirm,to confirm,partial,Existing output retained
Picture_5.pdf,institution indicators,histcite_institution_metrics_original.csv,to confirm,to confirm,partial,Existing output retained
Picture_6.pdf,country indicators,histcite_country_metrics_original.csv,to confirm,to confirm,partial,Existing output retained
picture_7.pdf,country collaboration,to confirm,to confirm,to confirm,partial,Existing output retained
newplot_original_pdf_fig8.pdf,geographical collaboration map,to confirm,to confirm,to confirm,partial,Author-selected original-PDF asset; the byte-identical duplicate and unused 300-dpi derivative were removed from the public working tree
picture_8.pdf,keyword networks by period,data/raw/wos/wos_export_screened_261.txt + period-specific public thesauri,VOSviewer 1.6.20,config/vosviewer/retained_network_settings.md,partial,Screened input and both thesauri are public; cropped panels document only visible layout clustering and display controls; manuscript tables remain authoritative for reported node statistics
new_all.pdf,overall keyword network,data/raw/wos/wos_export_screened_261.txt + config/vosviewer/thesaurus_keywords_all_original.txt,VOSviewer 1.6.20,config/vosviewer/retained_network_settings.md,partial,Screened 261-record input author-created thesaurus and cropped visible settings are public; no pixel-identical layout reconstruction is claimed
picture_9.pdf,co-citation network,data/raw/wos/wos_export_screened_261.txt,VOSviewer 1.6.20,config/vosviewer/retained_network_settings.md,partial,Archived figure and citation-relation table retained; the keyword-layout screenshots are not extrapolated to the co-citation figure
new_Relitu.pdf,keyword density visualisation,data/raw/wos/wos_export_screened_261.txt,VOSviewer 1.6.20,config/vosviewer/retained_network_settings.md,partial,Archived visual retained; reported values follow the manuscript and retained tables
top_datasets_ranking.pdf,dataset ranking,private original coding workbook,to confirm,config/fusion_coding_protocol.md,partial,Existing output retained; the public 163-record table preserves only archived fusion assignments and associated notes
Fusion_Picture.pdf,fusion-level conceptual diagram,review synthesis,manual vector editing,not applicable,partial,Claim text was revised; retain editable source if available
